Feature,Role,Variable Type,Demographic,Description
B14003010,Feature,Integer,Total Male Enrolled in public school 25 to 34 years,Number of total male enrolled in public school 25 to 34 years in the census tract (ACS 5-year estimate).
B14003011,Feature,Integer,Total Male Enrolled in public school 35 years and over,Number of total male enrolled in public school 35 years and over in the census tract (ACS 5-year estimate).
B14003012,Feature,Integer,Total Male Enrolled in private school,Number of total male enrolled in private school in the census tract (ACS 5-year estimate).
B14003013,Feature,Integer,Total Male Enrolled in private school 3 and 4 years,Number of total male enrolled in private school 3 and 4 years in the census tract (ACS 5-year estimate).
B14003014,Feature,Integer,Total Male Enrolled in private school 5 to 9 years,Number of total male enrolled in private school 5 to 9 years in the census tract (ACS 5-year estimate).
B14003015,Feature,Integer,Total Male Enrolled in private school 10 to 14 years,Number of total male enrolled in private school 10 to 14 years in the census tract (ACS 5-year estimate).
B14003016,Feature,Integer,Total Male Enrolled in private school 15 to 17 years,Number of total male enrolled in private school 15 to 17 years in the census tract (ACS 5-year estimate).
B14003017,Feature,Integer,Total Male Enrolled in private school 18 and 19 years,Number of total male enrolled in private school 18 and 19 years in the census tract (ACS 5-year estimate).
B14003018,Feature,Integer,Total Male Enrolled in private school 20 to 24 years,Number of total male enrolled in private school 20 to 24 years in the census tract (ACS 5-year estimate).
B14003019,Feature,Integer,Total Male Enrolled in private school 25 to 34 years,Number of total male enrolled in private school 25 to 34 years in the census tract (ACS 5-year estimate).
B14003020,Feature,Integer,Total Male Enrolled in private school 35 years and over,Number of total male enrolled in private school 35 years and over in the census tract (ACS 5-year estimate).
B14003021,Feature,Integer,Total Male Not enrolled in school,Number of total male not enrolled in school in the census tract (ACS 5-year estimate).
B14003022,Feature,Integer,Total Male Not enrolled in school 3 and 4 years,Number of total male not enrolled in school 3 and 4 years in the census tract (ACS 5-year estimate).
B14003026,Feature,Integer,Total Male Not enrolled in school 5 to 9 years,Number of total male not enrolled in school 5 to 9 years in the census tract (ACS 5-year estimate).
B14003027,Feature,Integer,Total Male Not enrolled in school 10 to 14 years,Number of total male not enrolled in school 10 to 14 years in the census tract (ACS 5-year estimate).
B14003028,Feature,Integer,Total Male Not enrolled in school 15 to 17 years,Number of total male not enrolled in school 15 to 17 years in the census tract (ACS 5-year estimate).
B14003029,Feature,Integer,Total Male Not enrolled in school 18 and 19 years,Number of total male not enrolled in school 18 and 19 years in the census tract (ACS 5-year estimate).
B14003030,Feature,Integer,Total Male Not enrolled in school 20 to 24 years,Number of total male not enrolled in school 20 to 24 years in the census tract (ACS 5-year estimate).
B14003031,Feature,Integer,Total Male Not enrolled in school 25 to 34 years,Number of total male not enrolled in school 25 to 34 years in the census tract (ACS 5-year estimate).
B14003032,Feature,Integer,Total Male Not enrolled in school 35 years and over,Number of total male not enrolled in school 35 years and over in the census tract (ACS 5-year estimate).
B14003033,Feature,Integer,Total Female,Number of total female enrollment by type of school by age for population 3 years and over in the census tract (ACS 5-year estimate).
B14003034,Feature,Integer,Total Female Enrolled in public school,Number of total female enrolled in public school in the census tract (ACS 5-year estimate).
B14003035,Feature,Integer,Total Female Enrolled in public school 3 and 4 years,Number of total female enrolled in public school 3 and 4 years in the census tract (ACS 5-year estimate).
B14003036,Feature,Integer,Total Female Enrolled in public school 5 to 9 years,Number of total female enrolled in public school 5 to 9 years in the census tract (ACS 5-year estimate).
B14003037,Feature,Integer,Total Female Enrolled in public school 10 to 14 years,Number of total female enrolled in public school 10 to 14 years in the census tract (ACS 5-year estimate).
B14003038,Feature,Integer,Total Female Enrolled in public school 15 to 17 years,Number of total female enrolled in public school 15 to 17 years in the census tract (ACS 5-year estimate).
B14003039,Feature,Integer,Total Female Enrolled in public school 18 and 19 years,Number of total female enrolled in public school 18 and 19 years in the census tract (ACS 5-year estimate).
B14003040,Feature,Integer,Total Female Enrolled in public school 20 to 24 years,Number of total female enrolled in public school 20 to 24 years in the census tract (ACS 5-year estimate).
B14003042,Feature,Integer,Total Female Enrolled in public school 25 to 34 years,Number of total female enrolled in public school 25 to 34 years in the census tract (ACS 5-year estimate).
B14003043,Feature,Integer,Total Female Enrolled in public school 35 years and over,Number of total female enrolled in public school 35 years and over in the census tract (ACS 5-year estimate).
B14003044,Feature,Integer,Total Female Enrolled in private school,Number of total female enrolled in private school in the census tract (ACS 5-year estimate).
B14003045,Feature,Integer,Total Female Enrolled in private school 5 to 9 years,Number of total female enrolled in private school 5 to 9 years in the census tract (ACS 5-year estimate).
B14003046,Feature,Integer,Total Female Enrolled in private school 10 to 14 years,Number of total female enrolled in private school 10 to 14 years in the census tract (ACS 5-year estimate).
B14003047,Feature,Integer,Total Female Enrolled in private school 15 to 17 years,Number of total female enrolled in private school 15 to 17 years in the census tract (ACS 5-year estimate).
B14003048,Feature,Integer,Total Female Enrolled in private school 18 and 19 years,Number of total female enrolled in private school 18 and 19 years in the census tract (ACS 5-year estimate).
B14003049,Feature,Integer,Total Female Enrolled in private school 20 to 24 years,Number of total female enrolled in private school 20 to 24 years in the census tract (ACS 5-year estimate).
B14003050,Feature,Integer,Total Female Enrolled in private school 25 to 34 years,Number of total female enrolled in private school 25 to 34 years in the census tract (ACS 5-year estimate).
B14003054,Feature,Integer,Total Female Enrolled in private school 35 years and over,Number of total female enrolled in private school 35 years and over in the census tract (ACS 5-year estimate).
B14003055,Feature,Integer,Total Female Not enrolled in school,Number of total female not enrolled in school in the census tract (ACS 5-year estimate).
B14003056,Feature,Integer,Total Female Not enrolled in school 3 and 4 years,Number of total female not enrolled in school 3 and 4 years in the census tract (ACS 5-year estimate).
B14003057,Feature,Integer,Total Female Not enrolled in school 18 and 19 years,Number of total female not enrolled in school 18 and 19 years in the census tract (ACS 5-year estimate).
B14004001,Feature,Integer,Total,Total college or graduate school enrollment by type of school by age for population of 15 years and over in the census tract (ACS 5-year estimate).
B14004002,Feature,Integer,Total Male,Number of total male college or graduate school enrollment by type of school by age for population of 15 years and over in the census tract (ACS 5-year estimate).
B14004003,Feature,Integer,Total Male Enrolled in public college or graduate school,Number of total male enrolled in public college or graduate school in the census tract (ACS 5-year estimate).
B14004005,Feature,Integer,Total Male Enrolled in public college or graduate school 18 to 24 years,Number of total male enrolled in public college or graduate school 18 to 24 years in the census tract (ACS 5-year estimate).
B14004006,Feature,Integer,Total Male Enrolled in public college or graduate school 25 to 34 years,Number of total male enrolled in public college or graduate school 25 to 34 years in the census tract (ACS 5-year estimate).
B14004007,Feature,Integer,Total Male Enrolled in public college or graduate school 35 years and over,Number of total male enrolled in public college or graduate school 35 years and over in the census tract (ACS 5-year estimate).
B14004008,Feature,Integer,Total Male Enrolled in private college or graduate school,Number of total male enrolled in private college or graduate school in the census tract (ACS 5-year estimate).
B14004010,Feature,Integer,Total Male Enrolled in private college or graduate school 18 to 24 years,Number of total male enrolled in private college or graduate school 18 to 24 years in the census tract (ACS 5-year estimate).
B14004011,Feature,Integer,Total Male Enrolled in private college or graduate school 25 to 34 years,Number of total male enrolled in private college or graduate school 25 to 34 years in the census tract (ACS 5-year estimate).
B14004012,Feature,Integer,Total Male Enrolled in private college or graduate school 35 years and over,Number of total male enrolled in private college or graduate school 35 years and over in the census tract (ACS 5-year estimate).
B14004013,Feature,Integer,Total Male Not enrolled in college or graduate school,Number of total male not enrolled in college or graduate school in the census tract (ACS 5-year estimate).
B14004014,Feature,Integer,Total Male Not enrolled in college or graduate school 15 to 17 years,Number of total male not enrolled in college or graduate school 15 to 17 years in the census tract (ACS 5-year estimate).
B14004015,Feature,Integer,Total Male Not enrolled in college or graduate school 18 to 24 years,Number of total male not enrolled in college or graduate school 18 to 24 years in the census tract (ACS 5-year estimate).
B14004016,Feature,Integer,Total Male Not enrolled in college or graduate school 25 to 34 years,Number of total male not enrolled in college or graduate school 25 to 34 years in the census tract (ACS 5-year estimate).
B14004017,Feature,Integer,Total Male Not enrolled in college or graduate school 35 years and over,Number of total male not enrolled in college or graduate school 35 years and over in the census tract (ACS 5-year estimate).
B14004018,Feature,Integer,Total Female,Number of total female college or graduate school enrollment by type of school by age for population of 15 years and over in the census tract (ACS 5-year estimate).
B14004019,Feature,Integer,Total Female Enrolled in public college or graduate school,Number of total female enrolled in public college or graduate school in the census tract (ACS 5-year estimate).
B14004021,Feature,Integer,Total Female Enrolled in public college or graduate school 18 to 24 years,Number of total female enrolled in public college or graduate school 18 to 24 years in the census tract (ACS 5-year estimate).
B14004022,Feature,Integer,Total Female Enrolled in public college or graduate school 25 to 34 years,Number of total female enrolled in public college or graduate school 25 to 34 years in the census tract (ACS 5-year estimate).
B14004023,Feature,Integer,Total Female Enrolled in public college or graduate school 35 years and over,Number of total female enrolled in public college or graduate school 35 years and over in the census tract (ACS 5-year estimate).
B14004024,Feature,Integer,Total Female Enrolled in private college or graduate school,Number of total female enrolled in private college or graduate school in the census tract (ACS 5-year estimate).
B14004026,Feature,Integer,Total Female Enrolled in private college or graduate school 18 to 24 years,Number of total female enrolled in private college or graduate school 18 to 24 years in the census tract (ACS 5-year estimate).
B14004027,Feature,Integer,Total Female Enrolled in private college or graduate school 25 to 34 years,Number of total female enrolled in private college or graduate school 25 to 34 years in the census tract (ACS 5-year estimate).
B14004028,Feature,Integer,Total Female Enrolled in private college or graduate school 35 years and over,Number of total female enrolled in private college or graduate school 35 years and over in the census tract (ACS 5-year estimate).
B14004029,Feature,Integer,Total Female Not enrolled in college or graduate school,Number of total female not enrolled in college or graduate school in the census tract (ACS 5-year estimate).
B14004030,Feature,Integer,Total Female Not enrolled in college or graduate school 15 to 17 years,Number of total female not enrolled in college or graduate school 15 to 17 years in the census tract (ACS 5-year estimate).
B14004031,Feature,Integer,Total Female Not enrolled in college or graduate school 18 to 24 years,Number of total female not enrolled in college or graduate school 18 to 24 years in the census tract (ACS 5-year estimate).
